Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,76.250000,76.449997,73.599998,74.800003,74.198853,23281709
2021-01-12,74.000000,76.849998,73.500000,76.199997,75.587601,29285428
2021-01-13,77.000000,78.000000,74.349998,74.800003,74.198853,41785200
2021-01-14,75.199997,75.900002,74.250000,75.050003,74.446846,21212153
2021-01-15,74.849998,75.300003,71.800003,73.349998,72.760506,28983879
2021-01-18,72.949997,73.400002,71.099998,71.599998,71.024567,23791895
2021-01-19,72.000000,75.599998,72.000000,75.400002,74.794029,28261556
2021-01-20,75.800003,78.000000,74.650002,77.300003,76.678764,71372249
2021-01-21,78.849998,78.849998,75.250000,76.250000,75.637199,48996022
2021-01-22,76.300003,77.000000,72.900002,73.300003,72.710907,37307932
2021-01-25,74.050003,74.800003,70.800003,71.250000,70.677383,30214877
2021-01-27,71.250000,71.900002,69.400002,69.800003,69.239037,35526511
2021-01-28,69.250000,72.449997,69.050003,71.599998,71.024567,57090348
2021-01-29,72.599998,74.550003,71.849998,72.300003,71.718948,52821135
2021-02-01,73.349998,77.449997,71.750000,77.199997,76.579559,38848036
2021-02-02,77.849998,81.849998,77.599998,80.250000,79.605049,52080504
2021-02-03,80.750000,82.199997,79.199997,81.599998,80.944199,36230202
2021-02-04,81.349998,85.800003,80.550003,85.550003,84.862457,43530895
2021-02-05,85.500000,87.250000,82.849998,83.199997,82.531342,37901726
2021-02-08,83.949997,84.949997,82.400002,82.849998,82.184158,16475271
2021-02-09,83.000000,85.449997,82.000000,82.949997,82.283348,27021814
2021-02-10,83.000000,83.750000,81.800003,82.849998,82.184158,20062934
2021-02-11,82.300003,84.000000,82.300003,83.400002,82.729736,15247124
2021-02-12,83.699997,84.150002,82.650002,83.150002,82.481750,12911103
2021-02-15,83.650002,85.699997,83.500000,85.199997,84.515266,20979020
2021-02-16,86.199997,87.250000,84.150002,85.400002,84.713661,27805881
2021-02-17,85.199997,88.199997,84.599998,86.699997,86.003212,30110062
